Date,	Q1 Answer,	Q2 Answer,	Q3 Answer,	Q4 Answer,	Q5 Answer,	Q6 Answer,	Q7 Answer,	
2015-03-29 00:02:36 Etc/GMT,	Colin Woodbury,	No Vote,	Jordan Toering,	Gareth Moon,	Jason Wang,	Kenneth Kwok,	David Miiller,	
2015-03-29 00:04:53 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Farzin Ahmed,	David Miiller,	
2015-03-29 00:05:04 Etc/GMT,	Colin Woodbury,	No Vote,	Jordan Toering,	Gareth Moon,	Jason Wang,	Kenneth Kwok,	David Miiller,	
2015-03-29 00:05:19 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Kenneth Kwok,	David Miiller,	
2015-03-29 00:06:11 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Kenneth Kwok,	David Miiller,	
2015-03-29 00:13:34 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	No Vote,	Jason Wang,	Kenneth Kwok,	David Miiller,	
2015-03-29 00:19:08 Etc/GMT,	Colin Woodbury,	No Vote,	No Vote,	No Vote,	Jason Wang,	Kenneth Kwok,	David Miiller,	
2015-03-29 00:22:52 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Farzin Ahmed,	David Miiller,	
2015-03-29 00:26:29 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Kenneth Kwok,	David Miiller,	
2015-03-29 00:34:21 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Kenneth Kwok,	David Miiller,	
2015-03-29 00:38:06 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Kenneth Kwok,	David Miiller,	
2015-03-29 00:53:24 Etc/GMT,	Colin Woodbury,	No Vote,	Jordan Toering,	Gareth Moon,	Jason Wang,	Kenneth Kwok,	David Miiller,	
2015-03-29 00:56:46 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Kenneth Kwok,	David Miiller,	
2015-03-29 01:09:32 Etc/GMT,	No Vote,	No Vote,	No Vote,	No Vote,	No Vote,	Kenneth Kwok,	No Vote,	
2015-03-29 01:18:03 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Farzin Ahmed,	David Miiller,	
2015-03-29 01:18:46 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Kenneth Kwok,	David Miiller,	
2015-03-29 01:36:52 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Kenneth Kwok,	David Miiller,	
2015-03-29 01:41:10 Etc/GMT,	No Vote,	No Vote,	Jordan Toering,	No Vote,	No Vote,	Farzin Ahmed,	David Miiller,	
2015-03-29 02:33:17 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Kenneth Kwok,	David Miiller,	
2015-03-29 02:58:53 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Kenneth Kwok,	David Miiller,	
2015-03-29 03:04:50 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Kenneth Kwok,	David Miiller,	
2015-03-29 03:17:27 Etc/GMT,	No Vote,	No Vote,	No Vote,	No Vote,	No Vote,	Kenneth Kwok,	No Vote,	
2015-03-29 03:27:15 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Farzin Ahmed,	David Miiller,	
2015-03-29 03:31:52 Etc/GMT,	No Vote,	No Vote,	No Vote,	No Vote,	Jason Wang,	Kenneth Kwok,	No Vote,	
2015-03-29 03:33:36 Etc/GMT,	No Vote,	No Vote,	No Vote,	No Vote,	No Vote,	Farzin Ahmed,	No Vote,	
2015-03-29 03:34:59 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Kenneth Kwok,	David Miiller,	
2015-03-29 03:46:19 Etc/GMT,	No Vote,	No Vote,	No Vote,	No Vote,	No Vote,	Farzin Ahmed,	No Vote,	
2015-03-29 04:32:22 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	No Vote,	Jason Wang,	Kenneth Kwok,	David Miiller,	
2015-03-29 04:37:45 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Kenneth Kwok,	David Miiller,	
2015-03-29 04:58:25 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Kenneth Kwok,	David Miiller,	
2015-03-29 05:19:59 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Kenneth Kwok,	David Miiller,	
2015-03-29 05:22:32 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Kenneth Kwok,	David Miiller,	
2015-03-29 05:37:39 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	No Vote,	No Vote,	Jason Wang,	Kenneth Kwok,	David Miiller,	
2015-03-29 07:07:15 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Kenneth Kwok,	David Miiller,	
2015-03-29 07:09:46 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Kenneth Kwok,	David Miiller,	
2015-03-29 07:10:42 Etc/GMT,	No Vote,	No Vote,	No Vote,	No Vote,	No Vote,	Kenneth Kwok,	No Vote,	
2015-03-29 07:14:57 Etc/GMT,	No Vote,	No Vote,	No Vote,	No Vote,	No Vote,	Kenneth Kwok,	No Vote,	
