Date,	Q1 Answer,	Q2 Answer,	Q3 Answer,	Q4 Answer,	Q5 Answer,	Q6 Answer,	
2016-08-08 05:02:37 Etc/GMT,	,	,	,	,	,	,	
2016-08-08 05:07:51 Etc/GMT,	Kai Zhang,	Paul Allan,	Bhavya Shah,	,	Henry Zhao,	,	
2016-08-08 05:08:15 Etc/GMT,	Kai Zhang,	Paul Allan,	Bhavya Shah,	Eric ly,	Henry Zhao,	Vote of No Confidence,	
2016-08-08 05:08:57 Etc/GMT,	Kai Zhang,	Paul Allan,	Bhavya Shah,	Eric ly,	Henry Zhao,	Trevor Gale,	
2016-08-08 05:11:38 Etc/GMT,	Kai Zhang,	Paul Allan,	Bhavya Shah,	Eric ly,	Henry Zhao,	Trevor Gale,	
2016-08-08 05:13:04 Etc/GMT,	Kai Zhang,	Paul Allan,	Vote of No Confidence,	Eric ly,	Henry Zhao,	Trevor Gale,	
2016-08-08 05:13:31 Etc/GMT,	Kai Zhang,	Paul Allan,	Vote of No Confidence,	Eric ly,	Henry Zhao,	Trevor Gale,	
2016-08-08 05:14:06 Etc/GMT,	Kai Zhang,	Paul Allan,	Vote of No Confidence,	Eric ly,	Henry Zhao,	Trevor Gale,	
2016-08-08 05:16:03 Etc/GMT,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	
2016-08-08 05:16:33 Etc/GMT,	Vote of No Confidence,	Paul Allan,	Vote of No Confidence,	Eric ly,	Vote of No Confidence,	Trevor Gale,	
2016-08-08 05:17:00 Etc/GMT,	Vote of No Confidence,	Paul Allan,	Bhavya Shah,	Vote of No Confidence,	Henry Zhao,	Trevor Gale,	
2016-08-08 05:18:17 Etc/GMT,	,	,	,	,	,	,	
2016-08-08 05:20:16 Etc/GMT,	Vote of No Confidence,	Paul Allan,	Vote of No Confidence,	Eric ly,	Henry Zhao,	Trevor Gale,	
2016-08-08 05:20:49 Etc/GMT,	,	,	,	,	,	,	
2016-08-08 05:29:09 Etc/GMT,	,	,	,	,	,	,	
2016-08-08 05:34:23 Etc/GMT,	Kai Zhang,	Paul Allan,	Bhavya Shah,	Eric ly,	Henry Zhao,	Trevor Gale,	
2016-08-08 05:52:57 Etc/GMT,	Vote of No Confidence,	Paul Allan,	Bhavya Shah,	Eric ly,	Henry Zhao,	Trevor Gale,	
2016-08-08 06:10:45 Etc/GMT,	Vote of No Confidence,	Paul Allan,	Bhavya Shah,	Eric ly,	Henry Zhao,	Trevor Gale,	
2016-08-08 06:46:16 Etc/GMT,	Kai Zhang,	Paul Allan,	Bhavya Shah,	Eric ly,	Henry Zhao,	Trevor Gale,	
2016-08-08 06:52:20 Etc/GMT,	Kai Zhang,	Paul Allan,	Bhavya Shah,	Eric ly,	Henry Zhao,	Trevor Gale,	
2016-08-08 07:04:43 Etc/GMT,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	
2016-08-08 07:10:59 Etc/GMT,	Kai Zhang,	Paul Allan,	Bhavya Shah,	Eric ly,	Henry Zhao,	Trevor Gale,	
2016-08-08 07:19:19 Etc/GMT,	Kai Zhang,	Paul Allan,	Bhavya Shah,	Eric ly,	Henry Zhao,	Trevor Gale,	
2016-08-08 07:20:45 Etc/GMT,	Kai Zhang,	Paul Allan,	Bhavya Shah,	Eric ly,	Henry Zhao,	Trevor Gale,	
2016-08-08 08:55:49 Etc/GMT,	Kai Zhang,	Paul Allan,	Bhavya Shah,	Eric ly,	Henry Zhao,	Trevor Gale,	
2016-08-08 09:00:54 Etc/GMT,	Kai Zhang,	Paul Allan,	Bhavya Shah,	Eric ly,	Henry Zhao,	Trevor Gale,	
2016-08-08 09:34:58 Etc/GMT,	,	Paul Allan,	,	,	,	,	
2016-08-08 11:47:19 Etc/GMT,	Kai Zhang,	Paul Allan,	Bhavya Shah,	Vote of No Confidence,	Vote of No Confidence,	Trevor Gale,	
2016-08-08 15:13:49 Etc/GMT,	Kai Zhang,	Paul Allan,	Bhavya Shah,	Eric ly,	Henry Zhao,	Trevor Gale,	
2016-08-08 17:15:49 Etc/GMT,	Vote of No Confidence,	Paul Allan,	Bhavya Shah,	Eric ly,	Henry Zhao,	Trevor Gale,	
2016-08-08 17:46:11 Etc/GMT,	Kai Zhang,	Paul Allan,	Bhavya Shah,	Eric ly,	Henry Zhao,	Trevor Gale,	
2016-08-08 17:57:12 Etc/GMT,	Kai Zhang,	Paul Allan,	Bhavya Shah,	Eric ly,	Henry Zhao,	Trevor Gale,	
2016-08-08 19:03:41 Etc/GMT,	Vote of No Confidence,	Vote of No Confidence,	Bhavya Shah,	Eric ly,	Henry Zhao,	Trevor Gale,	
2016-08-08 19:14:16 Etc/GMT,	Kai Zhang,	Paul Allan,	Bhavya Shah,	Eric ly,	Henry Zhao,	Trevor Gale,	
2016-08-08 19:20:39 Etc/GMT,	Kai Zhang,	Paul Allan,	Bhavya Shah,	Eric ly,	Henry Zhao,	Trevor Gale,	
2016-08-08 19:44:04 Etc/GMT,	Kai Zhang,	Paul Allan,	Bhavya Shah,	Eric ly,	Henry Zhao,	Trevor Gale,	
2016-08-08 20:19:47 Etc/GMT,	Vote of No Confidence,	Vote of No Confidence,	Bhavya Shah,	Eric ly,	Henry Zhao,	Trevor Gale,	
2016-08-08 20:32:47 Etc/GMT,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Eric ly,	Vote of No Confidence,	Vote of No Confidence,	
2016-08-08 21:02:29 Etc/GMT,	Kai Zhang,	Paul Allan,	Bhavya Shah,	Eric ly,	Henry Zhao,	Trevor Gale,	
2016-08-08 23:26:36 Etc/GMT,	Kai Zhang,	Paul Allan,	Bhavya Shah,	Eric ly,	Henry Zhao,	Trevor Gale,	
2016-08-08 23:46:07 Etc/GMT,	Kai Zhang,	Paul Allan,	Bhavya Shah,	Eric ly,	Henry Zhao,	Trevor Gale,	
2016-08-09 00:25:15 Etc/GMT,	Kai Zhang,	Paul Allan,	Bhavya Shah,	Eric ly,	Henry Zhao,	Trevor Gale,	
2016-08-09 00:38:26 Etc/GMT,	,	Paul Allan,	,	Eric ly,	,	,	
2016-08-09 00:38:46 Etc/GMT,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Eric ly,	Henry Zhao,	Trevor Gale,	
2016-08-09 01:51:17 Etc/GMT,	Kai Zhang,	Paul Allan,	Bhavya Shah,	Eric ly,	Henry Zhao,	,	
2016-08-09 02:27:43 Etc/GMT,	Vote of No Confidence,	Paul Allan,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	
2016-08-09 02:41:41 Etc/GMT,	Kai Zhang,	Paul Allan,	Bhavya Shah,	Eric ly,	Henry Zhao,	Trevor Gale,	
2016-08-09 03:09:41 Etc/GMT,	Kai Zhang,	Paul Allan,	Bhavya Shah,	Eric ly,	Henry Zhao,	Trevor Gale,	
2016-08-09 03:37:55 Etc/GMT,	,	,	,	,	,	,	
2016-08-09 05:07:30 Etc/GMT,	Kai Zhang,	Paul Allan,	Bhavya Shah,	Eric ly,	Henry Zhao,	Trevor Gale,	
2016-08-09 06:26:37 Etc/GMT,	Kai Zhang,	Paul Allan,	Bhavya Shah,	Eric ly,	Henry Zhao,	Trevor Gale,	
2016-08-09 08:34:36 Etc/GMT,	Kai Zhang,	Paul Allan,	Bhavya Shah,	Eric ly,	Henry Zhao,	Trevor Gale,	
2016-08-09 17:41:53 Etc/GMT,	Kai Zhang,	Paul Allan,	Bhavya Shah,	Eric ly,	Henry Zhao,	Trevor Gale,	
2016-08-09 20:14:44 Etc/GMT,	Kai Zhang,	Paul Allan,	Bhavya Shah,	Eric ly,	Henry Zhao,	Trevor Gale,	
2016-08-09 22:35:04 Etc/GMT,	Kai Zhang,	Paul Allan,	Bhavya Shah,	Eric ly,	Henry Zhao,	Trevor Gale,	
2016-08-09 22:44:55 Etc/GMT,	Vote of No Confidence,	Paul Allan,	Bhavya Shah,	Eric ly,	Vote of No Confidence,	Vote of No Confidence,	
2016-08-10 06:46:55 Etc/GMT,	Vote of No Confidence,	Paul Allan,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Trevor Gale,	
2016-08-10 23:14:27 Etc/GMT,	Kai Zhang,	Paul Allan,	Bhavya Shah,	Eric ly,	Henry Zhao,	Trevor Gale,	
2016-08-12 15:41:34 Etc/GMT,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	
2016-08-12 18:49:04 Etc/GMT,	,	,	,	,	,	,	
2016-08-12 22:50:36 Etc/GMT,	Vote of No Confidence,	Vote of No Confidence,	Bhavya Shah,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	
2016-08-12 23:03:36 Etc/GMT,	Kai Zhang,	Paul Allan,	Bhavya Shah,	Eric ly,	Henry Zhao,	Trevor Gale,	
2016-08-13 19:40:26 Etc/GMT,	Kai Zhang,	Paul Allan,	Bhavya Shah,	Eric ly,	Henry Zhao,	Trevor Gale,	
