Date,	Q1 Answer,	
2016-12-08 01:25:36 Etc/GMT,	,	
2016-12-08 01:52:04 Etc/GMT,	June Kim,	
2016-12-08 01:52:17 Etc/GMT,	Vote of No Confidence,	
2016-12-08 01:53:08 Etc/GMT,	Daphne Chong,	
2016-12-08 01:53:33 Etc/GMT,	Daphne Chong,	
2016-12-08 01:54:19 Etc/GMT,	Daphne Chong,	
2016-12-08 01:56:04 Etc/GMT,	Oscar Smith-Seiger,	
2016-12-08 01:56:56 Etc/GMT,	Jason Manshadi,	
2016-12-08 01:58:45 Etc/GMT,	Jason Manshadi,	
2016-12-08 02:01:25 Etc/GMT,	Oscar Smith-Seiger,	
2016-12-08 02:02:11 Etc/GMT,	Vote of No Confidence,	
2016-12-08 02:13:41 Etc/GMT,	Jason Manshadi,	
2016-12-08 02:19:02 Etc/GMT,	Oscar Smith-Seiger,	
2016-12-08 02:21:18 Etc/GMT,	Jason Manshadi,	
2016-12-08 02:28:07 Etc/GMT,	Vote of No Confidence,	
2016-12-08 02:29:39 Etc/GMT,	Oscar Smith-Seiger,	
2016-12-08 02:35:22 Etc/GMT,	Daphne Chong,	
2016-12-08 02:38:36 Etc/GMT,	Daphne Chong,	
2016-12-08 02:39:29 Etc/GMT,	Vote of No Confidence,	
2016-12-08 02:42:38 Etc/GMT,	Oscar Smith-Seiger,	
2016-12-08 02:44:41 Etc/GMT,	Daphne Chong,	
2016-12-08 02:45:41 Etc/GMT,	Daphne Chong,	
2016-12-08 03:05:11 Etc/GMT,	June Kim,	
2016-12-08 03:09:52 Etc/GMT,	Daphne Chong,	
2016-12-08 03:10:50 Etc/GMT,	Daphne Chong,	
2016-12-08 03:17:56 Etc/GMT,	Daphne Chong,	
2016-12-08 03:22:31 Etc/GMT,	Daphne Chong,	
2016-12-08 03:27:28 Etc/GMT,	Vote of No Confidence,	
2016-12-08 03:30:55 Etc/GMT,	Oscar Smith-Seiger,	
2016-12-08 03:37:51 Etc/GMT,	Brendan Chan,	
2016-12-08 03:39:47 Etc/GMT,	Oscar Smith-Seiger,	
2016-12-08 03:40:25 Etc/GMT,	Oscar Smith-Seiger,	
2016-12-08 03:50:02 Etc/GMT,	June Kim,	
2016-12-08 03:52:36 Etc/GMT,	Oscar Smith-Seiger,	
2016-12-08 03:52:52 Etc/GMT,	Oscar Smith-Seiger,	
2016-12-08 04:05:55 Etc/GMT,	Daphne Chong,	
2016-12-08 04:13:00 Etc/GMT,	Daphne Chong,	
2016-12-08 04:15:13 Etc/GMT,	Vote of No Confidence,	
2016-12-08 04:27:20 Etc/GMT,	June Kim,	
2016-12-08 04:43:08 Etc/GMT,	Jason Manshadi,	
2016-12-08 04:46:19 Etc/GMT,	Daphne Chong,	
2016-12-08 05:10:23 Etc/GMT,	Daphne Chong,	
2016-12-08 05:38:33 Etc/GMT,	Oscar Smith-Seiger,	
2016-12-08 05:50:46 Etc/GMT,	Vote of No Confidence,	
2016-12-08 05:57:44 Etc/GMT,	Jason Manshadi,	
2016-12-08 06:13:33 Etc/GMT,	June Kim,	
2016-12-08 17:04:21 Etc/GMT,	Vote of No Confidence,	
2016-12-08 17:29:51 Etc/GMT,	Jason Manshadi,	
2016-12-08 17:45:29 Etc/GMT,	Daphne Chong,	
2016-12-08 18:37:22 Etc/GMT,	Daphne Chong,	
2016-12-08 19:21:20 Etc/GMT,	Oscar Smith-Seiger,	
2016-12-08 22:47:03 Etc/GMT,	Oscar Smith-Seiger,	
2016-12-08 23:54:06 Etc/GMT,	Daphne Chong,	
2016-12-09 00:44:14 Etc/GMT,	Jason Manshadi,	
2016-12-09 03:12:59 Etc/GMT,	Oscar Smith-Seiger,	
2016-12-09 03:14:19 Etc/GMT,	Daphne Chong,	
2016-12-10 05:12:17 Etc/GMT,	Oscar Smith-Seiger,	
