Date,	Q1 Answer,	Q2 Answer,	
2017-08-14 22:58:17 Etc/GMT,	Courtenay Huffman,	Dawn Chandler,	
2017-08-15 00:00:31 Etc/GMT,	Courtenay Huffman,	Dawn Chandler,	
2017-08-15 00:02:00 Etc/GMT,	Courtenay Huffman,	Ali Arshad,	
2017-08-15 00:06:22 Etc/GMT,	Courtenay Huffman,	Ali Arshad,	
2017-08-15 00:07:12 Etc/GMT,	Courtenay Huffman,	Dawn Chandler,	
2017-08-15 00:16:12 Etc/GMT,	Courtenay Huffman,	Dawn Chandler,	
2017-08-15 00:22:30 Etc/GMT,	Courtenay Huffman,	Ali Arshad,	
2017-08-15 00:22:56 Etc/GMT,	Courtenay Huffman,	Ali Arshad,	
2017-08-15 00:28:43 Etc/GMT,	Courtenay Huffman,	Dawn Chandler,	
2017-08-15 00:31:36 Etc/GMT,	No Confidence,	Dawn Chandler,	
2017-08-15 00:36:34 Etc/GMT,	Courtenay Huffman,	Dawn Chandler,	
2017-08-15 00:46:05 Etc/GMT,	Courtenay Huffman,	Ali Arshad,	
2017-08-15 00:56:19 Etc/GMT,	Oscar Smith-Sieger,	Ali Arshad,	
2017-08-15 01:16:12 Etc/GMT,	Oscar Smith-Sieger,	Ali Arshad,	
2017-08-15 01:21:01 Etc/GMT,	Courtenay Huffman,	No Confidence,	
2017-08-15 01:29:47 Etc/GMT,	Courtenay Huffman,	Dawn Chandler,	
2017-08-15 01:32:20 Etc/GMT,	Courtenay Huffman,	Dawn Chandler,	
2017-08-15 01:38:23 Etc/GMT,	Courtenay Huffman,	Dawn Chandler,	
2017-08-15 01:58:43 Etc/GMT,	Courtenay Huffman,	Dawn Chandler,	
2017-08-15 02:34:12 Etc/GMT,	Oscar Smith-Sieger,	Dawn Chandler,	
2017-08-15 03:13:54 Etc/GMT,	Courtenay Huffman,	Dawn Chandler,	
2017-08-15 03:15:18 Etc/GMT,	Courtenay Huffman,	Dawn Chandler,	
2017-08-15 03:37:54 Etc/GMT,	Courtenay Huffman,	Ali Arshad,	
2017-08-15 03:56:32 Etc/GMT,	Courtenay Huffman,	No Confidence,	
2017-08-15 04:03:40 Etc/GMT,	Courtenay Huffman,	Dawn Chandler,	
2017-08-15 05:32:41 Etc/GMT,	Courtenay Huffman,	Dawn Chandler,	
2017-08-15 05:41:01 Etc/GMT,	Courtenay Huffman,	No Confidence,	
2017-08-15 05:53:16 Etc/GMT,	Courtenay Huffman,	No Confidence,	
2017-08-15 05:56:47 Etc/GMT,	Courtenay Huffman,	Ali Arshad,	
2017-08-15 06:55:38 Etc/GMT,	Courtenay Huffman,	Dawn Chandler,	
2017-08-15 07:16:37 Etc/GMT,	Courtenay Huffman,	Dawn Chandler,	
2017-08-15 07:57:37 Etc/GMT,	Courtenay Huffman,	Dawn Chandler,	
2017-08-15 08:17:33 Etc/GMT,	Courtenay Huffman,	No Confidence,	
2017-08-15 16:57:08 Etc/GMT,	Courtenay Huffman,	Dawn Chandler,	
2017-08-15 17:03:17 Etc/GMT,	Oscar Smith-Sieger,	Ali Arshad,	
2017-08-15 17:12:02 Etc/GMT,	Oscar Smith-Sieger,	Dawn Chandler,	
2017-08-15 19:18:23 Etc/GMT,	No Confidence,	Dawn Chandler,	
2017-08-15 19:56:24 Etc/GMT,	Courtenay Huffman,	Dawn Chandler,	
2017-08-16 01:08:37 Etc/GMT,	Courtenay Huffman,	Dawn Chandler,	
2017-08-16 01:56:02 Etc/GMT,	Oscar Smith-Sieger,	No Confidence,	
2017-08-16 03:19:52 Etc/GMT,	Courtenay Huffman,	Dawn Chandler,	
2017-08-16 03:29:02 Etc/GMT,	Courtenay Huffman,	Dawn Chandler,	
2017-08-16 03:33:56 Etc/GMT,	Courtenay Huffman,	Dawn Chandler,	
2017-08-16 04:21:24 Etc/GMT,	Courtenay Huffman,	Ali Arshad,	
2017-08-16 05:04:37 Etc/GMT,	Courtenay Huffman,	Dawn Chandler,	
2017-08-16 06:01:21 Etc/GMT,	Courtenay Huffman,	No Confidence,	
2017-08-16 14:06:57 Etc/GMT,	No Confidence,	Ali Arshad,	
2017-08-16 18:13:50 Etc/GMT,	Courtenay Huffman,	Dawn Chandler,	
2017-08-16 18:25:59 Etc/GMT,	Courtenay Huffman,	Dawn Chandler,	
2017-08-16 23:10:15 Etc/GMT,	No Confidence,	No Confidence,	
2017-08-17 21:27:09 Etc/GMT,	Courtenay Huffman,	No Confidence,	
2017-08-18 06:46:19 Etc/GMT,	Oscar Smith-Sieger,	Ali Arshad,	
2017-08-18 17:07:50 Etc/GMT,	Courtenay Huffman,	Ali Arshad,	
2017-08-18 20:04:27 Etc/GMT,	Courtenay Huffman,	Dawn Chandler,	
2017-08-19 21:39:40 Etc/GMT,	Courtenay Huffman,	Dawn Chandler,	
2017-08-20 04:40:42 Etc/GMT,	Courtenay Huffman,	Dawn Chandler,	
2017-08-20 18:56:49 Etc/GMT,	Courtenay Huffman,	Dawn Chandler,	
2017-08-20 19:13:39 Etc/GMT,	No Confidence,	No Confidence,	
2017-08-21 00:52:35 Etc/GMT,	Courtenay Huffman,	Dawn Chandler,	
2017-08-21 02:19:24 Etc/GMT,	No Confidence,	Dawn Chandler,	
2017-08-21 05:29:22 Etc/GMT,	Courtenay Huffman,	Dawn Chandler,	
2017-08-22 01:29:14 Etc/GMT,	Courtenay Huffman,	Dawn Chandler,	
2017-08-22 04:58:16 Etc/GMT,	Oscar Smith-Sieger,	Ali Arshad,	
2017-08-22 05:01:12 Etc/GMT,	Courtenay Huffman,	Ali Arshad,	
2017-08-22 14:28:05 Etc/GMT,	No Confidence,	Ali Arshad,	
2017-08-22 14:45:49 Etc/GMT,	No Confidence,	No Confidence,	
2017-08-22 15:28:19 Etc/GMT,	Courtenay Huffman,	No Confidence,	
2017-08-22 15:35:12 Etc/GMT,	Courtenay Huffman,	Dawn Chandler,	
2017-08-22 16:39:51 Etc/GMT,	Courtenay Huffman,	Dawn Chandler,	
2017-08-22 16:54:45 Etc/GMT,	Courtenay Huffman,	Dawn Chandler,	
2017-08-22 17:00:38 Etc/GMT,	Courtenay Huffman,	Ali Arshad,	
2017-08-22 19:36:04 Etc/GMT,	Oscar Smith-Sieger,	Ali Arshad,	
2017-08-22 23:39:18 Etc/GMT,	Courtenay Huffman,	Dawn Chandler,	
2017-08-23 01:26:19 Etc/GMT,	Courtenay Huffman,	Dawn Chandler,	
2017-08-23 03:46:12 Etc/GMT,	Oscar Smith-Sieger,	Ali Arshad,	
2017-08-23 04:41:17 Etc/GMT,	Courtenay Huffman,	Ali Arshad,	
