Date	Q1 Answer	Q2 Answer	Q3 Answer	Q4 Answer	Q5 Answer	Q6 Answer	Q7 Answer	
2018-03-27 21:51:28 Etc/GMT								
2018-03-27 21:54:01 Etc/GMT	Vote of No Confidence	Trevor Gale	Vote of No Confidence	Eric Gao	Oscar Smith-Sieger	Vote of No Confidence	Dusan kovacevic	
2018-03-27 21:54:12 Etc/GMT	Kasra Jamshidi	Vote of No Confidence	Vote of No Confidence	Eric Gao	Oscar Smith-Sieger	Paymon Jalali	Vote of No Confidence	
2018-03-27 21:55:43 Etc/GMT	Kasra Jamshidi	Paul Allan	Vijender (VJ) Bakhshi	Eric Gao	Oscar Smith-Sieger	Paymon Jalali	Dusan kovacevic	
2018-03-27 21:59:35 Etc/GMT	Kasra Jamshidi	Paul Allan	Vijender (VJ) Bakhshi	Vote of No Confidence	Oscar Smith-Sieger	Paymon Jalali	Dusan kovacevic	
2018-03-27 21:59:44 Etc/GMT	Kasra Jamshidi	Paul Allan	Vijender (VJ) Bakhshi	Eric Gao	Brendan Chan	Paymon Jalali	Dusan kovacevic	
2018-03-27 22:00:07 Etc/GMT	Kasra Jamshidi	Paul Allan	Vote of No Confidence	Eric Gao	Brendan Chan	Paymon Jalali	Vote of No Confidence	
2018-03-27 22:01:44 Etc/GMT	Kasra Jamshidi	Paul Allan	Vijender (VJ) Bakhshi	Eric Gao	Brendan Chan	Paymon Jalali	Dusan kovacevic	
2018-03-27 22:02:34 Etc/GMT	Kasra Jamshidi	Paul Allan	Vijender (VJ) Bakhshi	Truman Bui	Brendan Chan	Paymon Jalali	Dusan kovacevic	
2018-03-27 22:02:53 Etc/GMT	Kasra Jamshidi	Trevor Gale	Vijender (VJ) Bakhshi	Vote of No Confidence	Brendan Chan	Paymon Jalali	Vote of No Confidence	
2018-03-27 22:05:28 Etc/GMT	Kasra Jamshidi	Trevor Gale	Vijender (VJ) Bakhshi	Truman Bui	Oscar Smith-Sieger	Paymon Jalali	Dusan kovacevic	
2018-03-27 22:06:25 Etc/GMT	Kasra Jamshidi	Trevor Gale	Vijender (VJ) Bakhshi	Eric Gao	Brendan Chan	Paymon Jalali	Dusan kovacevic	
2018-03-27 22:07:31 Etc/GMT	Kasra Jamshidi	Paul Allan		Eric Gao	Oscar Smith-Sieger	Paymon Jalali	Dusan kovacevic	
2018-03-27 22:08:46 Etc/GMT	Vote of No Confidence	Paul Allan	Vijender (VJ) Bakhshi	Eric Gao	Oscar Smith-Sieger	Paymon Jalali	Vote of No Confidence	
2018-03-27 22:14:10 Etc/GMT	Kasra Jamshidi	Paul Allan	Vijender (VJ) Bakhshi	Eric Gao	Brendan Chan	Paymon Jalali	Vote of No Confidence	
2018-03-27 22:16:30 Etc/GMT	Kasra Jamshidi	Trevor Gale	Vote of No Confidence	Truman Bui	Brendan Chan	Paymon Jalali	Vote of No Confidence	
2018-03-27 22:18:36 Etc/GMT	Kasra Jamshidi	Paul Allan	Vote of No Confidence	Eric Gao	Oscar Smith-Sieger	Paymon Jalali	Dusan kovacevic	
2018-03-27 22:18:58 Etc/GMT	Kasra Jamshidi	Paul Allan	Vijender (VJ) Bakhshi	Eric Gao	Brendan Chan	Paymon Jalali	Dusan kovacevic	
2018-03-27 22:20:09 Etc/GMT	Kasra Jamshidi	Paul Allan	Vijender (VJ) Bakhshi	Eric Gao	Brendan Chan	Paymon Jalali	Vote of No Confidence	
2018-03-27 22:32:32 Etc/GMT	Kasra Jamshidi	Paul Allan	Vijender (VJ) Bakhshi	Truman Bui	Brendan Chan	Paymon Jalali	Dusan kovacevic	
2018-03-27 22:36:06 Etc/GMT	Kasra Jamshidi	Paul Allan	Vote of No Confidence	Eric Gao	Oscar Smith-Sieger	Vote of No Confidence	Dusan kovacevic	
2018-03-27 22:39:23 Etc/GMT	Kasra Jamshidi	Paul Allan	Vijender (VJ) Bakhshi	Truman Bui	Oscar Smith-Sieger	Paymon Jalali	Dusan kovacevic	
2018-03-27 22:40:55 Etc/GMT	Kasra Jamshidi	Paul Allan	Vijender (VJ) Bakhshi	Truman Bui	Oscar Smith-Sieger	Paymon Jalali	Dusan kovacevic	
2018-03-27 22:47:28 Etc/GMT	Kasra Jamshidi	Paul Allan	Vijender (VJ) Bakhshi	Eric Gao	Oscar Smith-Sieger	Paymon Jalali	Dusan kovacevic	
2018-03-27 22:49:34 Etc/GMT	Kasra Jamshidi	Paul Allan	Vijender (VJ) Bakhshi	Eric Gao	Oscar Smith-Sieger	Paymon Jalali	Dusan kovacevic	
2018-03-27 22:53:38 Etc/GMT	Vote of No Confidence	Paul Allan	Vijender (VJ) Bakhshi	Eric Gao	Brendan Chan	Vote of No Confidence	Dusan kovacevic	
2018-03-27 23:07:08 Etc/GMT	Kasra Jamshidi	Paul Allan	Vijender (VJ) Bakhshi	Eric Gao	Brendan Chan	Paymon Jalali	Dusan kovacevic	
2018-03-27 23:26:40 Etc/GMT	Kasra Jamshidi	Paul Allan	Vijender (VJ) Bakhshi	Eric Gao	Oscar Smith-Sieger	Paymon Jalali	Dusan kovacevic	
2018-03-28 00:09:36 Etc/GMT	Kasra Jamshidi	Trevor Gale	Vijender (VJ) Bakhshi	Eric Gao	Brendan Chan	Paymon Jalali	Dusan kovacevic	
2018-03-28 00:18:18 Etc/GMT	Kasra Jamshidi	Paul Allan	Vijender (VJ) Bakhshi	Eric Gao	Oscar Smith-Sieger	Paymon Jalali	Dusan kovacevic	
2018-03-28 00:38:26 Etc/GMT	Kasra Jamshidi	Paul Allan	Vijender (VJ) Bakhshi	Eric Gao	Oscar Smith-Sieger	Paymon Jalali	Vote of No Confidence	
2018-03-28 00:49:37 Etc/GMT	Kasra Jamshidi	Paul Allan	Vijender (VJ) Bakhshi	Eric Gao	Vote of No Confidence	Paymon Jalali	Dusan kovacevic	
