Date	Q1 Answer	Q2 Answer	
2018-09-21 07:04:40 Etc/GMT	Mircea Taras	John Sweeney	
2018-09-21 07:10:03 Etc/GMT	Gareth Moon	Ryan Vansickle	
2018-09-21 07:10:16 Etc/GMT	Gareth Moon	Ryan Vansickle	
2018-09-21 07:24:51 Etc/GMT	Mircea Taras	John Sweeney	
2018-09-21 07:41:04 Etc/GMT	Mircea Taras	John Sweeney	
2018-09-21 08:12:41 Etc/GMT	John Sweeney	John Sweeney	
2018-09-21 14:17:05 Etc/GMT	Gareth Moon	Ryan Vansickle	
2018-09-21 14:55:28 Etc/GMT	John Sweeney	John Sweeney	
2018-09-21 15:14:24 Etc/GMT	Sheldon Bond	Ryan Vansickle	
2018-09-21 15:25:19 Etc/GMT	Mircea Taras	Ryan Vansickle	
2018-09-21 15:55:49 Etc/GMT	John Sweeney	John Sweeney	
2018-09-21 16:16:39 Etc/GMT	Sheldon Bond	Ryan Vansickle	
2018-09-21 16:46:20 Etc/GMT	Mircea Taras	Vote of No Confidence	
2018-09-21 16:47:10 Etc/GMT	Gareth Moon	Ryan Vansickle	
2018-09-21 16:51:02 Etc/GMT	Gareth Moon	Vote of No Confidence	
2018-09-21 17:26:44 Etc/GMT	Gareth Moon	Ryan Vansickle	
2018-09-21 18:09:44 Etc/GMT	Gareth Moon	Ryan Vansickle	
2018-09-21 18:16:25 Etc/GMT	Sheldon Bond	Ryan Vansickle	
2018-09-21 19:06:42 Etc/GMT	Sheldon Bond	Ryan Vansickle	
2018-09-21 19:30:11 Etc/GMT	Gareth Moon	Laurens Bosman	
2018-09-21 20:04:18 Etc/GMT	John Sweeney	John Sweeney	
2018-09-21 20:09:15 Etc/GMT	Gareth Moon	Ryan Vansickle	
2018-09-21 20:13:47 Etc/GMT	Sheldon Bond	Laurens Bosman	
2018-09-21 20:18:07 Etc/GMT	Gareth Moon	Ryan Vansickle	
2018-09-21 20:44:42 Etc/GMT	Sheldon Bond	Laurens Bosman	
2018-09-21 20:49:00 Etc/GMT	Gareth Moon	Ryan Vansickle	
2018-09-21 20:49:38 Etc/GMT	Gareth Moon	Ryan Vansickle	
2018-09-21 21:00:01 Etc/GMT	Gareth Moon	Vote of No Confidence	
2018-09-21 21:15:37 Etc/GMT	Gareth Moon	Ryan Vansickle	
2018-09-21 21:35:34 Etc/GMT	John Sweeney	John Sweeney	
2018-09-21 21:56:20 Etc/GMT	Gareth Moon	Ryan Vansickle	
2018-09-21 23:08:41 Etc/GMT	Sheldon Bond	Laurens Bosman	
2018-09-21 23:10:05 Etc/GMT	Gareth Moon	Ryan Vansickle	
2018-09-21 23:13:43 Etc/GMT	Mircea Taras	Laurens Bosman	
2018-09-22 01:16:01 Etc/GMT	Gareth Moon	John Sweeney	
2018-09-22 03:51:48 Etc/GMT	Vote of No Confidence	Ryan Vansickle	
2018-09-22 05:05:26 Etc/GMT	Sheldon Bond	Laurens Bosman	
2018-09-22 05:14:22 Etc/GMT	Mircea Taras	Ryan Vansickle	
2018-09-22 06:59:55 Etc/GMT	Sheldon Bond	Laurens Bosman	
2018-09-22 21:27:31 Etc/GMT	Gareth Moon	Ryan Vansickle	
2018-09-22 21:29:48 Etc/GMT	Gareth Moon	Ryan Vansickle	
2018-09-22 23:43:06 Etc/GMT	John Sweeney	John Sweeney	
2018-09-23 00:43:21 Etc/GMT	Sheldon Bond	Laurens Bosman	
2018-09-23 04:03:09 Etc/GMT	Gareth Moon	Vote of No Confidence	
2018-09-23 05:37:33 Etc/GMT	Gareth Moon	Laurens Bosman	
2018-09-23 15:12:51 Etc/GMT	Gareth Moon	Ryan Vansickle	
2018-09-23 16:30:25 Etc/GMT	Mircea Taras	Vote of No Confidence	
2018-09-23 18:54:34 Etc/GMT	John Sweeney	John Sweeney	
2018-09-24 04:47:49 Etc/GMT	Gareth Moon	Ryan Vansickle	
2018-09-24 16:54:09 Etc/GMT	Sheldon Bond	Laurens Bosman	
2018-09-24 20:49:51 Etc/GMT	Gareth Moon	Laurens Bosman	
2018-09-24 21:17:15 Etc/GMT	Sheldon Bond	Laurens Bosman	
2018-09-25 05:07:06 Etc/GMT	Gareth Moon	Laurens Bosman	
2018-09-26 15:10:21 Etc/GMT	John Sweeney	John Sweeney	
2018-09-26 21:18:31 Etc/GMT	Gareth Moon	Ryan Vansickle	
2018-09-26 23:13:05 Etc/GMT	Gareth Moon	Ryan Vansickle	
2018-09-26 23:38:45 Etc/GMT	Mircea Taras	Vote of No Confidence	
2018-09-27 01:24:27 Etc/GMT	Mircea Taras	Ryan Vansickle	
2018-09-27 02:07:25 Etc/GMT	Mircea Taras	Laurens Bosman	
2018-09-27 02:12:48 Etc/GMT	Sheldon Bond	Ryan Vansickle	
2018-09-27 02:13:55 Etc/GMT			
2018-09-27 02:20:40 Etc/GMT		Ryan Vansickle	
2018-09-27 02:22:57 Etc/GMT	John Sweeney	Ryan Vansickle	
2018-09-27 02:44:31 Etc/GMT	Sheldon Bond	Laurens Bosman	
2018-09-27 02:50:44 Etc/GMT	John Sweeney	John Sweeney	
2018-09-27 02:54:31 Etc/GMT	Sheldon Bond	Laurens Bosman	
2018-09-27 03:02:44 Etc/GMT	Sheldon Bond	John Sweeney	
2018-09-27 03:07:11 Etc/GMT	Sheldon Bond	Laurens Bosman	
2018-09-27 03:07:52 Etc/GMT	Mircea Taras	Vote of No Confidence	
2018-09-27 03:21:57 Etc/GMT	Gareth Moon	Ryan Vansickle	
2018-09-27 03:46:33 Etc/GMT	Gareth Moon	Ryan Vansickle	
2018-09-27 03:55:30 Etc/GMT	Gareth Moon	John Sweeney	
2018-09-27 04:20:36 Etc/GMT	Sheldon Bond	Laurens Bosman	
2018-09-27 04:38:24 Etc/GMT	Sheldon Bond	John Sweeney	
2018-09-27 05:11:01 Etc/GMT	Gareth Moon	John Sweeney	
2018-09-27 05:21:17 Etc/GMT	Sheldon Bond	Ryan Vansickle	
2018-09-27 05:47:25 Etc/GMT	Gareth Moon	Laurens Bosman	
2018-09-27 05:58:30 Etc/GMT	Mircea Taras	Vote of No Confidence	
2018-09-27 06:44:21 Etc/GMT	Gareth Moon	Laurens Bosman	
2018-09-27 07:15:43 Etc/GMT	Gareth Moon	Laurens Bosman	
2018-09-27 15:54:21 Etc/GMT	Sheldon Bond	Laurens Bosman	
2018-09-27 16:43:27 Etc/GMT	Gareth Moon	John Sweeney	
2018-09-27 17:00:32 Etc/GMT	John Sweeney	John Sweeney	
2018-09-27 17:04:49 Etc/GMT	Mircea Taras	John Sweeney	
2018-09-27 17:38:35 Etc/GMT	Gareth Moon	Ryan Vansickle	
2018-09-27 18:44:56 Etc/GMT	Gareth Moon	John Sweeney	
2018-09-27 20:54:07 Etc/GMT	Gareth Moon	Laurens Bosman	
2018-09-27 20:57:50 Etc/GMT	Gareth Moon	Laurens Bosman	
2018-09-27 21:42:22 Etc/GMT	Sheldon Bond	Ryan Vansickle	
2018-09-27 22:43:47 Etc/GMT	Gareth Moon	Laurens Bosman	
2018-09-27 23:45:41 Etc/GMT	Gareth Moon	John Sweeney	
2018-09-28 00:13:06 Etc/GMT	Gareth Moon	Ryan Vansickle	
2018-09-28 00:16:09 Etc/GMT	Sheldon Bond	Ryan Vansickle	
2018-09-28 03:05:19 Etc/GMT	Vote of No Confidence	Vote of No Confidence	
2018-09-28 04:02:21 Etc/GMT	Sheldon Bond	Laurens Bosman	
2018-09-28 04:15:41 Etc/GMT	Gareth Moon	Ryan Vansickle	
2018-09-28 04:15:43 Etc/GMT	Gareth Moon	Vote of No Confidence	
2018-09-28 05:01:22 Etc/GMT	Gareth Moon	Ryan Vansickle	
2018-09-28 06:16:36 Etc/GMT	Sheldon Bond	Laurens Bosman	
