Date,	Q1 Answer,	Q2 Answer,	Q3 Answer,	Q4 Answer,	Q5 Answer,	Q6 Answer,	Q7 Answer,	Q8 Answer,	
2019-04-07 00:17:37 Etc/GMT,	John Sweeney,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Shiva Sanei,	Sarbjot Mann,	Dusan kovacevic,	
2019-04-07 00:20:35 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Ryan Vansickle,	Vote of No Confidence,	
2019-04-07 00:20:52 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Ryan Vansickle,	Dusan kovacevic,	
2019-04-07 00:21:10 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Michelle Soo,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Sarbjot Mann,	Vote of No Confidence,	
2019-04-07 00:21:22 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Sarbjot Mann,	Dusan kovacevic,	
2019-04-07 00:21:53 Etc/GMT,	Vote Of No Confidence,	Vote of No Confidence,	Vote Of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote Of No Confidence,	Vote Of No Confidence,	Vote of No Confidence,	
2019-04-07 00:22:12 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Sarbjot Mann,	Vote of No Confidence,	
2019-04-07 00:22:33 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Sarbjot Mann,	Dusan kovacevic,	
2019-04-07 00:22:35 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Shiva Sanei,	Sarbjot Mann,	Vote of No Confidence,	
2019-04-07 00:25:28 Etc/GMT,	Vote Of No Confidence,	Vote of No Confidence,	Vote Of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote Of No Confidence,	Vote Of No Confidence,	Vote of No Confidence,	
2019-04-07 00:26:05 Etc/GMT,	Vote Of No Confidence,	VJ Bakhshi,	Mark Liu,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Sarbjot Mann,	Dusan kovacevic,	
2019-04-07 00:26:21 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mitchell Gale,	John Sweeney,	Nikola Filipovic,	Shiva Sanei,	Sarbjot Mann,	Dusan kovacevic,	
2019-04-07 00:26:34 Etc/GMT,	Vote Of No Confidence,	Vote of No Confidence,	Mark Liu,	Vote of No Confidence,	Vote of No Confidence,	Vote Of No Confidence,	Vote Of No Confidence,	Vote of No Confidence,	
2019-04-07 00:30:20 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mark Liu,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Sarbjot Mann,	Dusan kovacevic,	
2019-04-07 00:34:05 Etc/GMT,	,	,	,	,	,	,	,	,	
2019-04-07 00:34:31 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Ryan Vansickle,	Dusan kovacevic,	
2019-04-07 00:35:55 Etc/GMT,	Vote Of No Confidence,	Vote of No Confidence,	Mitchell Gale,	Truman Bui,	John Sweeney,	Gareth Moon,	Ryan Vansickle,	Vote of No Confidence,	
2019-04-07 00:36:24 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mark Liu,	Vote of No Confidence,	Nikola Filipovic,	Gareth Moon,	Ryan Vansickle,	Dusan kovacevic,	
2019-04-07 00:36:24 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Ryan Vansickle,	Dusan kovacevic,	
2019-04-07 00:37:40 Etc/GMT,	Vote Of No Confidence,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Shiva Sanei,	Vote Of No Confidence,	Vote of No Confidence,	
2019-04-07 00:39:12 Etc/GMT,	John Sweeney,	John Sweeney,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Shiva Sanei,	Ryan Vansickle,	Dusan kovacevic,	
2019-04-07 00:42:02 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mark Liu,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Ryan Vansickle,	Dusan kovacevic,	
2019-04-07 00:44:03 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Sarbjot Mann,	John Sweeney,	
2019-04-07 00:44:17 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Sarbjot Mann,	Dusan kovacevic,	
2019-04-07 00:44:47 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mark Liu,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Sarbjot Mann,	Dusan kovacevic,	
