Date	Q1 Answer	Q2 Answer	
2019-09-21 00:34:16 Etc/GMT	Celina Wright	Sarbjotm mann	
2019-09-21 00:41:52 Etc/GMT	John Sweeny	Sarbjotm mann	
2019-09-21 00:48:23 Etc/GMT	Celina Wright	Sarbjotm mann	
2019-09-21 00:49:11 Etc/GMT	Celina Wright	Ryan Vansickle	
2019-09-21 00:50:10 Etc/GMT	Celina Wright	Ryan Vansickle	
2019-09-21 00:51:06 Etc/GMT	Celina Wright	Karan Aujia	
2019-09-21 00:51:53 Etc/GMT	Celina Wright	Sarbjotm mann	
2019-09-21 00:51:57 Etc/GMT	Celina Wright	Sarbjotm mann	
2019-09-21 00:57:58 Etc/GMT	Celina Wright	Karan Aujia	
2019-09-21 01:01:46 Etc/GMT	Celina Wright	Karan Aujia	
2019-09-21 01:06:47 Etc/GMT	Vote for No confidence	Sarbjotm mann	
2019-09-21 01:09:06 Etc/GMT	Celina Wright	Karan Aujia	
2019-09-21 01:14:15 Etc/GMT	Celina Wright	Sarbjotm mann	
2019-09-21 01:26:57 Etc/GMT	Celina Wright	Karan Aujia	
2019-09-21 01:28:02 Etc/GMT	John Sweeny	Sarbjotm mann	
2019-09-21 01:32:37 Etc/GMT	Celina Wright	Sarbjotm mann	
2019-09-21 01:48:22 Etc/GMT	John Sweeny	Sarbjotm mann	
2019-09-21 01:57:45 Etc/GMT	Celina Wright	Karan Aujia	
2019-09-21 02:25:39 Etc/GMT	Vote for No confidence	John Wu	
2019-09-21 02:47:56 Etc/GMT	John Sweeny	Karan Aujia	
2019-09-21 03:42:24 Etc/GMT	Celina Wright	Ryan Vansickle	
2019-09-21 03:44:57 Etc/GMT	Celina Wright	Karan Aujia	
2019-09-21 04:02:44 Etc/GMT	Celina Wright	Sarbjotm mann	
2019-09-21 04:21:05 Etc/GMT	Celina Wright	Karan Aujia	
2019-09-21 04:37:21 Etc/GMT	John Sweeny	Vote for no confidence	
2019-09-21 05:07:11 Etc/GMT	Celina Wright	Sarbjotm mann	
2019-09-21 05:09:48 Etc/GMT	John Sweeny	Karan Aujia	
2019-09-21 05:25:58 Etc/GMT	John Sweeny	Karan Aujia	
2019-09-21 05:31:52 Etc/GMT	Celina Wright	Ryan Vansickle	
2019-09-21 05:53:06 Etc/GMT	Celina Wright	Ryan Vansickle	
2019-09-21 05:59:00 Etc/GMT	John Sweeny	John Sweeny	
2019-09-21 06:01:10 Etc/GMT	John Sweeny	John Sweeny	
2019-09-21 06:05:55 Etc/GMT	John Sweeny	Ryan Vansickle	
2019-09-21 06:11:39 Etc/GMT	Celina Wright	Sarbjotm mann	
2019-09-21 06:25:59 Etc/GMT	Celina Wright	Karan Aujia	
2019-09-21 06:56:25 Etc/GMT	Celina Wright	Sarbjotm mann	
2019-09-21 07:27:40 Etc/GMT	Vote for No confidence	Ryan Vansickle	
2019-09-21 14:20:52 Etc/GMT	Celina Wright	Karan Aujia	
2019-09-21 16:19:10 Etc/GMT	Celina Wright	Sarbjotm mann	
2019-09-21 16:20:17 Etc/GMT	Celina Wright	Karan Aujia	
2019-09-21 17:38:14 Etc/GMT	Celina Wright	Sarbjotm mann	
2019-09-21 18:31:11 Etc/GMT	Celina Wright	John Wu	
2019-09-21 19:15:04 Etc/GMT	Celina Wright	John Wu	
2019-09-21 19:52:50 Etc/GMT	Celina Wright	Ryan Vansickle	
2019-09-21 20:07:21 Etc/GMT	Celina Wright	Karan Aujia	
2019-09-21 20:24:32 Etc/GMT	Celina Wright	Sarbjotm mann	
2019-09-21 21:04:21 Etc/GMT	John Sweeny	Karan Aujia	
2019-09-21 21:42:59 Etc/GMT	Celina Wright	John Sweeny	
2019-09-21 22:14:10 Etc/GMT	Celina Wright	Karan Aujia	
2019-09-21 22:32:29 Etc/GMT	John Sweeny	Sarbjotm mann	
2019-09-21 23:46:17 Etc/GMT	John Sweeny	John Sweeny	
2019-09-22 00:08:59 Etc/GMT	Celina Wright	John Sweeny	
2019-09-22 00:14:31 Etc/GMT	Celina Wright	Ryan Vansickle	
2019-09-22 01:17:35 Etc/GMT	Vote for No confidence	Ryan Vansickle	
2019-09-22 02:36:28 Etc/GMT	Celina Wright	Sarbjotm mann	
2019-09-22 02:49:31 Etc/GMT	Celina Wright	John Wu	
2019-09-22 03:30:37 Etc/GMT	Celina Wright	Ryan Vansickle	
2019-09-22 04:22:09 Etc/GMT	John Sweeny	Sarbjotm mann	
2019-09-22 07:41:06 Etc/GMT	Celina Wright	Ryan Vansickle	
2019-09-22 07:53:53 Etc/GMT	Celina Wright	Karan Aujia	
2019-09-22 08:04:58 Etc/GMT	Celina Wright	Karan Aujia	
2019-09-22 10:08:55 Etc/GMT	Celina Wright	Sarbjotm mann	
2019-09-22 18:49:28 Etc/GMT	Celina Wright	Sarbjotm mann	
2019-09-22 19:24:10 Etc/GMT	Celina Wright	Karan Aujia	
2019-09-22 22:34:11 Etc/GMT	Celina Wright	Sarbjotm mann	
2019-09-23 01:30:44 Etc/GMT	Celina Wright	Sarbjotm mann	
2019-09-23 02:40:40 Etc/GMT	Celina Wright	Sarbjotm mann	
2019-09-23 03:29:56 Etc/GMT	Celina Wright	Ryan Vansickle	
2019-09-23 04:22:01 Etc/GMT	Celina Wright	Karan Aujia	
2019-09-23 06:28:00 Etc/GMT	Celina Wright	Sarbjotm mann	
2019-09-23 09:34:44 Etc/GMT	Celina Wright	Karan Aujia	
2019-09-23 16:32:38 Etc/GMT	Celina Wright	Ryan Vansickle	
2019-09-23 19:02:21 Etc/GMT	Vote for No confidence	John Wu	
