Date	Q1 Answer	Q2 Answer	Q3 Answer	Q4 Answer	Q5 Answer	Q6 Answer	Q7 Answer	Q8 Answer	
2020-04-16 02:13:50 Etc/GMT									
2020-04-16 02:22:18 Etc/GMT	Vote of No Confidence	Vote of No Confidence	Vote of No Confidence	Vote of No Confidence	John Wu	Vote of No Confidence	John Wu	John Wu	
2020-04-16 02:22:19 Etc/GMT	Vote of No Confidence	Vote of No Confidence	Vote of No Confidence	Vote of No Confidence	John Wu	Vote of No Confidence	John Wu	John Wu	
2020-04-16 02:22:21 Etc/GMT	Vijender Bakhshi	Paymon Jalali	Mitch Gale	Liam Wilson	John Wu	Liam Wilson	Dusan Kovacevic	Shiva Sanei	
2020-04-16 02:22:30 Etc/GMT	Vote of No Confidence	Sarbjot Mann	Vote of No Confidence	Truman Bui	John Wu	Vote of No Confidence	John Wu	John Wu	
2020-04-16 02:23:11 Etc/GMT	Vijender Bakhshi	Sarbjot Mann	Mitch Gale	Truman Bui	Vote of No Confidence	Liam Wilson	Dusan Kovacevic	Shiva Sanei	
2020-04-16 02:26:33 Etc/GMT	Arya Tavakoli	Vote of No Confidence	Vote of No Confidence	Vote of No Confidence	Vote of No Confidence	Vote of No Confidence	Vote of No Confidence	Vote of No Confidence	
2020-04-16 02:29:24 Etc/GMT	Vijender Bakhshi	Paymon Jalali	Mitch Gale	Truman Bui	Liam Wilson		Dusan Kovacevic	Shiva Sanei	
2020-04-16 02:30:50 Etc/GMT	Vijender Bakhshi	Paymon Jalali	Mitch Gale	Truman Bui	John Wu	Argus Li	Dusan Kovacevic	Shiva Sanei	
2020-04-16 02:32:22 Etc/GMT	Vijender Bakhshi	Sarbjot Mann	Manav Sharma	Truman Bui	John Wu	Argus Li	Liam Wilson	Shiva Sanei	
2020-04-16 02:33:10 Etc/GMT	Vijender Bakhshi	Paymon Jalali	Mitch Gale	Liam Wilson	Liam Wilson	Liam Wilson	Dusan Kovacevic	Liam Wilson	
2020-04-16 02:33:44 Etc/GMT	Bryan Daniels	Sarbjot Mann	Mitch Gale	Truman Bui	John Wu	Argus Li	Dusan Kovacevic	Shiva Sanei	
