Date	Q1 Answer	Q2 Answer	Q3 Answer	Q4 Answer	Q5 Answer	Q6 Answer	Q7 Answer	Q8 Answer	
2021-04-07 06:42:13 Etc/GMT	John Wu	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Justin Yan	Dina Hui Zeng	Johnson Luong	Truman Bui	
2021-04-07 06:42:20 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Justin Yan	Jared Murphy	Jared Murphy	Jared Murphy	Dusan Kovacevic	
2021-04-07 06:54:36 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Jared Murphy	Dina Hui Zeng	Justin Yan	Truman Bui	
2021-04-07 07:05:49 Etc/GMT	John Wu	Shiva Sanei	No Confidence	Argus (Chun Kei) Li	Justin Yan	Dina Hui Zeng	Johnson Luong	Truman Bui	
2021-04-07 07:11:46 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Justin Yan	Jared Murphy	Johnson Luong	Truman Bui	
2021-04-07 07:14:32 Etc/GMT	Mitchell Gale	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	Johnson Luong	No Confidence	
2021-04-07 07:16:31 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Jared Murphy	Dina Hui Zeng	Jared Murphy	Dusan Kovacevic	
2021-04-07 07:30:42 Etc/GMT	John Wu	Shiva Sanei	Ari Blondal	Justin Yan	Jared Murphy	Dina Hui Zeng	Johnson Luong	Truman Bui	
2021-04-07 07:44:53 Etc/GMT	John Wu	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Justin Yan	Dina Hui Zeng	Johnson Luong	Truman Bui	
2021-04-07 07:52:42 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Justin Yan	Justin Yan	Dina Hui Zeng	Justin Yan	Justin Yan	
2021-04-07 07:57:06 Etc/GMT	John Wu	Shiva Sanei	Ari Blondal	Justin Yan	Jared Murphy	Dina Hui Zeng	Johnson Luong	Truman Bui	
2021-04-07 08:08:41 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Justin Yan	Dina Hui Zeng	Johnson Luong	Truman Bui	
2021-04-07 08:09:57 Etc/GMT							Johnson Luong		
2021-04-07 08:14:21 Etc/GMT	John Wu	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Justin Yan	Jared Murphy	Johnson Luong	Truman Bui	
2021-04-07 11:04:53 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Justin Yan	Dina Hui Zeng	Johnson Luong	Truman Bui	
2021-04-07 14:41:44 Etc/GMT	John Wu	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Jared Murphy	Dina Hui Zeng	Justin Yan	Truman Bui	
2021-04-07 14:44:04 Etc/GMT	Mitchell Gale	No Confidence	Ari Blondal	Justin Yan	Justin Yan	Dina Hui Zeng	Johnson Luong	Dusan Kovacevic	
2021-04-07 15:30:53 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Justin Yan	Jared Murphy	No Confidence	Johnson Luong	Dusan Kovacevic	
2021-04-07 15:32:02 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Justin Yan	Jared Murphy	Johnson Luong	Dusan Kovacevic	
