Date	Q1 Answer	Q2 Answer	Q3 Answer	Q4 Answer	Q5 Answer	Q6 Answer	Q7 Answer	Q8 Answer	
2022-04-01 07:38:32 Etc/GMT	Oliver Xie	Justin Yan	Gabriel Stang	Rohan Parmar	Jasper Song	Truman Bui	Gilbert (Siu Chung) Wong	Rohan Parmar	
2022-04-01 07:38:55 Etc/GMT	Mitchell Gale	Justin Yan	Gabriel Stang	No Confidence	Jasper Song	Truman Bui	Gilbert (Siu Chung) Wong	No Confidence	
2022-04-01 07:40:25 Etc/GMT	Oliver Xie	Justin Yan	Gabriel Stang	No Confidence	Jasper Song	Truman Bui	Jared Murphy	No Confidence	
2022-04-01 07:41:20 Etc/GMT	Oliver Xie	Justin Yan	Gabriel Stang	No Confidence	Jasper Song	Truman Bui	No Confidence	No Confidence	
2022-04-01 07:43:21 Etc/GMT	Mitchell Gale	Rohan Parmar	Gabriel Stang	No Confidence	Jasper Song	Truman Bui	Jared Murphy	No Confidence	
2022-04-01 07:43:32 Etc/GMT	Oliver Xie	No Confidence	Gabriel Stang	No Confidence	Jasper Song	Truman Bui	Jared Murphy	No Confidence	
2022-04-01 07:44:18 Etc/GMT	Mitchell Gale	Justin Yan	Gabriel Stang	Rohan Parmar	Jasper Song	Truman Bui	Jared Murphy	Rohan Parmar	
2022-04-01 07:45:47 Etc/GMT	Mitchell Gale	Justin Yan	Gabriel Stang	Rohan Parmar	Jasper Song	Truman Bui	Jared Murphy	No Confidence	
2022-04-01 07:47:09 Etc/GMT	Mitchell Gale	Justin Yan	Gabriel Stang	Rohan Parmar	Rohan Parmar	Truman Bui	Gilbert (Siu Chung) Wong	Rohan Parmar	
2022-04-01 07:47:37 Etc/GMT	Mitchell Gale	Justin Yan	No Confidence	Rohan Parmar	Jasper Song	Truman Bui	Gilbert (Siu Chung) Wong	No Confidence	
2022-04-01 07:48:47 Etc/GMT	Mitchell Gale	Justin Yan	Gabriel Stang	No Confidence	Jasper Song	Truman Bui	Jared Murphy	No Confidence	
2022-04-01 07:50:23 Etc/GMT	Mitchell Gale	Justin Yan	Gabriel Stang	No Confidence	Jasper Song	Truman Bui	Jared Murphy	No Confidence	
2022-04-01 07:52:47 Etc/GMT									
2022-04-01 07:56:27 Etc/GMT	Mitchell Gale	Justin Yan	Gabriel Stang	No Confidence	Jasper Song	Truman Bui	Gilbert (Siu Chung) Wong	No Confidence	
2022-04-01 07:57:20 Etc/GMT	Oliver Xie	Justin Yan	Gabriel Stang	No Confidence	Jasper Song	Truman Bui	Jared Murphy	No Confidence	
2022-04-01 08:00:37 Etc/GMT	Oliver Xie	Justin Yan	Gabriel Stang	No Confidence	Jasper Song	Truman Bui	Jared Murphy	No Confidence	
2022-04-01 08:01:59 Etc/GMT	Oliver Xie	Justin Yan	Johnson Luong	No Confidence	Jasper Song	Truman Bui	Jared Murphy	No Confidence	
2022-04-01 08:19:35 Etc/GMT	Mitchell Gale	No Confidence	No Confidence	No Confidence	Jasper Song	No Confidence	No Confidence	No Confidence	
2022-04-01 08:20:40 Etc/GMT	Oliver Xie	Justin Yan	Gabriel Stang	Rohan Parmar	Jasper Song	Truman Bui	Jared Murphy	Rohan Parmar	
2022-04-01 08:21:05 Etc/GMT	Mitchell Gale	Justin Yan	Johnson Luong	No Confidence	Jasper Song	Truman Bui	Jared Murphy	No Confidence	
2022-04-01 08:23:51 Etc/GMT	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	Jared Murphy	No Confidence	
2022-04-01 08:45:40 Etc/GMT	Mitchell Gale	Rohan Parmar	Rohan Parmar	Rohan Parmar	Rohan Parmar	Truman Bui	Jared Murphy	Rohan Parmar	
2022-04-01 08:46:21 Etc/GMT	Mitchell Gale	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	Jared Murphy	No Confidence	
2022-04-01 09:41:56 Etc/GMT	Mitchell Gale	Justin Yan	Gabriel Stang	No Confidence	Jasper Song	Truman Bui	Jared Murphy	Rohan Parmar	
2022-04-01 10:42:02 Etc/GMT	Mitchell Gale	Justin Yan	Gabriel Stang	No Confidence	Jasper Song	Truman Bui	Jared Murphy	No Confidence	
2022-04-01 13:47:41 Etc/GMT	Oliver Xie	No Confidence	Gabriel Stang	No Confidence	Jasper Song	Truman Bui	Jared Murphy	No Confidence	
2022-04-01 15:01:11 Etc/GMT	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	Truman Bui	Jared Murphy	No Confidence	
2022-04-01 15:21:19 Etc/GMT	Mitchell Gale	Justin Yan	Gabriel Stang	Rohan Parmar	Jasper Song	Truman Bui	Jared Murphy	Rohan Parmar	
