Date	Q1 Answer	Q2 Answer	Q3 Answer	Q4 Answer	
2022-04-23 07:13:26 Etc/GMT					
2022-04-23 07:13:31 Etc/GMT	No Confidence	Valerie Kistrina	Mantaj Dhillon	Julkar Naine Reedoy	
2022-04-23 07:14:29 Etc/GMT	Clare Provezano	Jennifer Dai	Yolanda Lam	Rastko Koprivica	
2022-04-23 07:14:46 Etc/GMT	Oliver Xie	Jennifer Dai	Yolanda Lam	Johnson Luong	
2022-04-23 07:15:09 Etc/GMT	No Confidence	No Confidence	No Confidence	No Confidence	
2022-04-23 07:15:15 Etc/GMT	No Confidence	No Confidence	No Confidence	Julkar Naine Reedoy	
2022-04-23 07:19:25 Etc/GMT	Oliver Xie	Jennifer Dai	Yolanda Lam	Johnson Luong	
2022-04-23 07:19:29 Etc/GMT	Clare Provezano	Clare Provezano	Mantaj Dhillon	Rastko Koprivica	
2022-04-23 07:19:35 Etc/GMT	Clare Provezano	Clare Provezano	Yolanda Lam	Julkar Naine Reedoy	
2022-04-23 07:22:10 Etc/GMT	Oliver Xie	Valerie Kistrina	Yolanda Lam	Johnson Luong	
2022-04-23 07:23:56 Etc/GMT	Clare Provezano	Clare Provezano	Gilbert Siu Chung Wong	Johnson Luong	
2022-04-23 07:24:54 Etc/GMT	Oliver Xie	Oliver Xie	Mantaj Dhillon	Johnson Luong	
2022-04-23 07:29:01 Etc/GMT	No Confidence	No Confidence	No Confidence	Rastko Koprivica	
2022-04-23 07:29:14 Etc/GMT	Oliver Xie	Oliver Xie	No Confidence	Rastko Koprivica	
2022-04-23 07:29:49 Etc/GMT	Oliver Xie	Oliver Xie	Gilbert Siu Chung Wong	Gilbert Siu Chung Wong	
2022-04-23 07:30:37 Etc/GMT	Oliver Xie	Oliver Xie	Yolanda Lam	No Confidence	
2022-04-23 07:30:48 Etc/GMT	No Confidence	No Confidence	No Confidence	Johnson Luong	
2022-04-23 07:31:29 Etc/GMT	Oliver Xie	Jennifer Dai	Gilbert Siu Chung Wong	Gilbert Siu Chung Wong	
2022-04-23 07:32:19 Etc/GMT	No Confidence	No Confidence	Gilbert Siu Chung Wong	Gilbert Siu Chung Wong	
2022-04-23 07:37:21 Etc/GMT	Clare Provezano	Valerie Kistrina	Yolanda Lam	Johnson Luong	
2022-04-23 07:44:14 Etc/GMT	Oliver Xie	Oliver Xie	Yolanda Lam	Johnson Luong	
2022-04-23 07:47:20 Etc/GMT	Oliver Xie	Oliver Xie	Yolanda Lam	Gilbert Siu Chung Wong	
2022-04-23 07:57:47 Etc/GMT	Oliver Xie	Oliver Xie	Yolanda Lam	Rastko Koprivica	
2022-04-23 08:08:02 Etc/GMT	Oliver Xie	Valerie Kistrina	Yolanda Lam	Johnson Luong	
2022-04-23 09:22:40 Etc/GMT	Oliver Xie	Valerie Kistrina	No Confidence	No Confidence	
2022-04-23 10:42:57 Etc/GMT	Oliver Xie	Oliver Xie	Gilbert Siu Chung Wong	Johnson Luong	
2022-04-23 15:08:01 Etc/GMT	Oliver Xie	Jennifer Dai	Yolanda Lam	Johnson Luong	
2022-04-23 15:29:58 Etc/GMT	No Confidence	No Confidence	No Confidence	No Confidence	
2022-04-23 15:34:48 Etc/GMT	Clare Provezano	Valerie Kistrina	Mantaj Dhillon	Johnson Luong	
2022-04-23 15:50:38 Etc/GMT	Oliver Xie	Valerie Kistrina	Yolanda Lam	Rastko Koprivica	
2022-04-23 16:04:39 Etc/GMT	Clare Provezano	Valerie Kistrina	Yolanda Lam	Rastko Koprivica	
2022-04-23 16:27:19 Etc/GMT	Clare Provezano	Valerie Kistrina	Gilbert Siu Chung Wong	Hooyar Hamraz	
2022-04-23 16:30:23 Etc/GMT	Clare Provezano	Valerie Kistrina	Yolanda Lam	Hooyar Hamraz	
2022-04-23 17:19:37 Etc/GMT	No Confidence	No Confidence	No Confidence	Hooyar Hamraz	
2022-04-23 17:20:30 Etc/GMT	Oliver Xie	Valerie Kistrina	No Confidence	Rastko Koprivica	
2022-04-23 17:21:40 Etc/GMT	No Confidence	No Confidence	No Confidence	Hooyar Hamraz	
2022-04-23 17:38:18 Etc/GMT	Oliver Xie	Jennifer Dai	Gilbert Siu Chung Wong	Johnson Luong	
2022-04-23 18:32:42 Etc/GMT	Oliver Xie	Valerie Kistrina	Mantaj Dhillon	Johnson Luong	
2022-04-23 19:04:44 Etc/GMT	Oliver Xie	Clare Provezano	Gilbert Siu Chung Wong	Gilbert Siu Chung Wong	
2022-04-23 19:34:15 Etc/GMT	Clare Provezano	Jennifer Dai	Mantaj Dhillon	Rastko Koprivica	
2022-04-23 19:38:48 Etc/GMT	Clare Provezano	Valerie Kistrina	Yolanda Lam	No Confidence	
2022-04-23 20:09:07 Etc/GMT	No Confidence	No Confidence	No Confidence	Hooyar Hamraz	
