Date	Q1 Answer	Q2 Answer	Q3 Answer	Q4 Answer	Q5 Answer	Q6 Answer	Q7 Answer	Q8 Answer	Q9 Answer	Q10 Answer	
2023-03-29 07:08:03 Etc/GMT	No Confidence	Valerie Kistrina	Gabriel Stang	Sean Chan	Patrick Peake	Micah Baker	Arya Faghihy	Darrick Gunawan	Yolanda Lam	Dina Zeng	
2023-03-29 07:08:39 Etc/GMT	No Confidence	Valerie Kistrina	Gabriel Stang	Sean Chan	Patrick Peake	Micah Baker	Arya Faghihy	Darrick Gunawan	Yolanda Lam	Dina Zeng	
2023-03-29 07:09:52 Etc/GMT	Justin Yan	Valerie Kistrina	Joyce Zhang	Sean Chan	Patrick Peake	Micah Baker	Katie Sun	Isabelle Kwan	Yolanda Lam	Dina Zeng	
2023-03-29 07:13:25 Etc/GMT	Justin Yan	Valerie Kistrina	Gabriel Stang	Sean Chan	Patrick Peake	Micah Baker	Arya Faghihy	Isabelle Kwan	Yolanda Lam	Dina Zeng	
2023-03-29 07:13:34 Etc/GMT	Justin Yan	Johnson Luong	Gabriel Stang	Sean Chan	Patrick Peake	Micah Baker	Arya Faghihy	Isabelle Kwan	Yolanda Lam	Dina Zeng	
2023-03-29 07:14:26 Etc/GMT	Justin Yan	Valerie Kistrina	Gabriel Stang	No Confidence	Patrick Peake	Micah Baker	Katie Sun	Isabelle Kwan	Yolanda Lam	Elvin Zukic	
2023-03-29 07:15:50 Etc/GMT	No Confidence	Gursahib Singh Badwal	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	
2023-03-29 07:16:48 Etc/GMT	Justin Yan	Johnson Luong	Gabriel Stang	Sean Chan	Patrick Peake	Micah Baker	Arya Faghihy	Isabelle Kwan	Yolanda Lam	Dina Zeng	
2023-03-29 07:22:12 Etc/GMT	Justin Yan	Valerie Kistrina	Gabriel Stang	Sean Chan	Patrick Peake	Micah Baker	Arya Faghihy	Isabelle Kwan	Yolanda Lam	Dina Zeng	
2023-03-29 07:31:10 Etc/GMT	Justin Yan	Valerie Kistrina	Gabriel Stang	Sean Chan	Patrick Peake	Micah Baker	Arya Faghihy	Darrick Gunawan	Yolanda Lam	Dina Zeng	
2023-03-29 07:31:44 Etc/GMT	Justin Yan	Johnson Luong	Gabriel Stang	Sean Chan	Patrick Peake	Micah Baker	No Confidence	No Confidence	Yolanda Lam	Elvin Zukic	
2023-03-29 07:31:52 Etc/GMT	Justin Yan	Johnson Luong	Joyce Zhang	Sean Chan	Patrick Peake	Micah Baker	Katie Sun	Isabelle Kwan	Yolanda Lam	Dina Zeng	
2023-03-29 07:32:42 Etc/GMT	Justin Yan	Valerie Kistrina	Gabriel Stang	Sean Chan	Patrick Peake	Micah Baker	Arya Faghihy	Darrick Gunawan	Yolanda Lam	Dina Zeng	
2023-03-29 07:32:50 Etc/GMT	Justin Yan	Valerie Kistrina	Gabriel Stang	Sean Chan	Patrick Peake	Micah Baker	Arya Faghihy	Isabelle Kwan	Yolanda Lam	Dina Zeng	
2023-03-29 07:36:21 Etc/GMT	No Confidence	Johnson Luong	Gabriel Stang	Sean Chan	Patrick Peake	Micah Baker	Katie Sun	Isabelle Kwan	Yolanda Lam	Elvin Zukic	
2023-03-29 07:37:08 Etc/GMT	No Confidence	Johnson Luong	Gabriel Stang	No Confidence	No Confidence	No Confidence	Katie Sun	Isabelle Kwan	Yolanda Lam	Elvin Zukic	
2023-03-29 07:38:28 Etc/GMT	No Confidence	Johnson Luong	Gabriel Stang	Sean Chan	Patrick Peake	Micah Baker	Katie Sun	Isabelle Kwan	Yolanda Lam	Elvin Zukic	
2023-03-29 07:38:38 Etc/GMT	Justin Yan	Johnson Luong	No Confidence	Sean Chan	Patrick Peake	Micah Baker	No Confidence	No Confidence	Yolanda Lam	Elvin Zukic	
2023-03-29 07:39:11 Etc/GMT	Justin Yan	Johnson Luong	Gabriel Stang	Sean Chan	Patrick Peake	Micah Baker	Katie Sun	Isabelle Kwan	Yolanda Lam	Elvin Zukic	
2023-03-29 07:39:20 Etc/GMT	Justin Yan	Valerie Kistrina	Gabriel Stang	Sean Chan	Patrick Peake	Micah Baker	Katie Sun	Darrick Gunawan	Yolanda Lam	Elvin Zukic	
